x,y,Label
-1.0063380392861285,0.1630727589917502,0
0.6822772134635589,-0.31651793146185897,0
-0.008430905390316596,-0.04646711931709066,0
0.9653149558743008,0.9393096323373987,0
0.4783260696695952,-0.2273965281342964,0
-0.4234533762524174,0.5259158970859005,0
0.0461150879753112,0.08334456787162424,0
-0.0019737196454058786,0.24139191297778265,0
0.6389015093342985,-0.6740436156401363,0
0.35250680210443536,0.8156104291289845,0
0.278039873325743,-0.03032221077029237,0
-0.35655736344803907,-0.14103861488013095,0
-0.13964923393771814,-0.13111192405913089,0
0.2651038330403181,0.34985429537506396,0
-0.29884855757914175,-0.012532301201861438,0
0.4191860645316711,0.37924240106713303,0
0.12029511495178355,-0.07094323659262113,0
-0.3616725260084301,0.09977800880413547,0
-0.6204032613559508,0.32780233910602075,0
-0.0358742660918862,0.9996751152132887,0
0.5173650162788446,-0.11275744284001775,0
0.8451812193716595,0.04029399936941141,0
0.37064372016444785,0.035346047535462916,0
-0.6516920216370772,-0.323940057745994,0
0.6383504507997032,0.8593340166809902,0
-0.8590639196262095,0.18900153310243212,0
0.16074686588226153,0.4426058544590842,0
0.33170239908509486,-0.9973718945453347,0
-0.4172691608755383,-0.08412876173231205,0
0.07155246431289414,0.7548496971010747,0
-0.3995099506151525,-0.13755581723018012,0
0.15884079800989243,0.3532611842267685,0
0.5446207859776664,0.2014526441911379,0
0.2205355395740237,0.6897367984774901,0
0.6563367834336644,-0.24334558676099943,0
0.06660326938869014,-0.5338441500022539,0
0.2387365455667184,-0.7843597655356608,0
-0.4473883677110573,0.252486978268781,0
-0.6969827956213142,-0.1822952548830971,0
-0.35944204988703166,0.12424852617525095,0
-3.6591412408500226,-3.453175209500991,1
-1.9479645995521895,-1.1355320570173304,1
-3.6260284979997883,-2.7359444899558953,1
-2.8867428284232255,-2.1292803667543345,1
-3.471172265025237,-3.385115015311275,1
-3.789181871200862,-3.0659286445168377,1
-0.11505858504498745,-1.6352736316004757,1
-2.5796900865603667,-3.4519265473643657,1
-1.9598386903987208,-3.601171398819192,1
-2.573412303236429,-3.6999669702179716,1
-3.0059785314248426,-3.2746369477406354,1
-2.499669661370101,-5.248095834017118,1
-1.9837158908662895,-1.667288163387831,1
-3.734584539848172,-2.872519901142578,1
-4.15826527071261,-3.290506265997729,1
-3.1568710317081736,-1.2972449223981493,1
-2.5571266356694378,-2.3077032648794003,1
-2.2475551977140436,-5.22238986126813,1
-4.7753655439586336,-2.2422710927414324,1
-2.316210372963962,-2.8314561329345,1
-3.096435519295366,-3.3298966002814447,1
-2.2510527188582214,-3.4529197270576306,1
-2.274922167080847,-1.6926439361032484,1
-3.2713110449119283,-4.213877508418965,1
-3.7669249803773175,-5.12443420751292,1
-3.5890178522106915,-3.968956615700102,1
-3.2172982158661836,-3.1155366048223594,1
-1.7902413867298563,-2.232525523907234,1
-4.076917224372533,-1.6518969751510766,1
-1.4739650896249679,-2.445100929922784,1
-4.233249966177567,-3.891374118618333,1
-4.323001214947297,-1.1204645061816576,1
-3.074870990135945,-3.683427404204587,1
-1.7071694505841728,-3.493322975599912,1
-2.836617580299114,-5.116305158501744,1
-3.3234027286739174,-1.7413142980934526,1
-3.13428668552861,-3.097869062841271,1
-0.9547986890677929,-3.9758839375550195,1
-1.9553176660861018,-3.853919698635871,1
-3.5930381428769556,-4.182626319781482,1
